label,region
1,Area 45 (IFG) right
2,Area 44 (IFG) right
3,Area Fo1 (OFC) right
4,Area Fo2 (OFC) right
5,Area Fo3 (OFC) right
6,Area hOc5 (LOC) right
7,"Area hOc2 (V2, 18) right"
8,"Area hOc1 (V1, 17, CalcS) right"
9,Area hOc4v (LingG) right
10,Area hOc3v (LingG) right
11,Area TE 1.0 (HESCHL) right
12,Area TE 2.1 (STG) right
13,Area TPJ (STG/SMG) right
14,Area TE 1.2 (HESCHL) right
15,Area TE 3 (STG) right
16,Area TE 1.1 (HESCHL) right
17,Area TE 2.2 (STG) right
18,Area 33 (ACC) right
19,Area s32 (sACC) right
20,Area p32 (pACC) right
21,Area Id2 (Insula) right
22,Area Id3 (Insula) right
23,CA2 (Hippocampus) right
24,CA3 (Hippocampus) right
25,Entorhinal Cortex right
26,DG (Hippocampus) right
27,HC-Parasubiculum (Hippocampus) right
28,HC-Presubiculum (Hippocampus) right
29,HC-Prosubiculum (Hippocampus) right
30,CA1 (Hippocampus) right
31,HC-Subiculum (Hippocampus) right
32,HATA (Hippocampus) right
33,Area OP4 (POperc) right
34,Area OP1 (POperc) right
35,Area OP2 (POperc) right
36,Area OP3 (POperc) right
37,Area FG2 (FusG) right
38,Area FG1 (FusG) right
39,Area PGp (IPL) right
40,Area PFt (IPL) right
41,Area PGa (IPL) right
42,Area PFop (IPL) right
43,Area PFm (IPL) right
44,Area PFcm (IPL) right
45,Area Ig2 (Insula) right
46,Area Ig1 (Insula) right
47,Area Id1 (Insula) right
48,Area hOc4lp (LOC) right
49,Area hOc4la (LOC) right
50,Area hOc4d (Cuneus) right
51,Area hOc3d (Cuneus) right
52,Area 4p (PreCG) right
53,Area 4a (PreCG) right
54,Area 1 (PostCG) right
55,Area 3a (PostCG) right
56,Area 3b (PostCG) right
57,Area hIP1 (IPS) right
58,Area hIP2 (IPS) right
59,Area 5L (SPL) right
60,Area 5M (SPL) right
61,Area 7PC (SPL) right
62,Area hIP3 (IPS) right
63,Area 7A (SPL) right
64,Area 7M (SPL) right
65,Area 5Ci (SPL) right
66,Area Id7 (Insula) right
67,Area s24 (sACC) right
68,Area 25 (sACC) right
69,SF (Amygdala) right
70,LB (Amygdala) right
71,Area PF (IPL) right
72,Area 7P (SPL) right
73,Area Fp2 (FPole) right
74,Area Fp1 (FPole) right
75,Fastigial Nucleus (Cerebellum) right
76,VTM (Amygdala) right
77,Area p24ab (pACC) right
78,Area p24c (pACC) right
79,MF (Amygdala) right
80,Area FG4 (FusG) right
81,Area FG3 (FusG) right
82,Dorsal Dentate Nucleus (Cerebellum) right
83,Ventral Dentate Nucleus (Cerebellum) right
84,Area TeI (STG) right
85,Area TI (STG) right
86,Area IFS1 (IFS) right
87,Area IFS2 (IFS) right
88,Area IFS3 (IFS) right
89,Area IFS4 (IFS) right
90,"Area IFJ1 (IFS,PreCS) right"
91,"Area IFJ2 (IFS,PreCS) right"
92,Interposed Nucleus (Cerebellum) right
93,Area 2 (PostCS) right
94,Ch 4 (Basal Forebrain) right
95,Area STS1 (STS) right
96,Area STS2 (STS) right
97,Area Op8 (Frontal Operculum) right
98,Area Op9 (Frontal Operculum) right
99,Ch 123 (Basal Forebrain) right
100,Area 6d1 (PreCG) right
101,Area 6d2 (PreCG) right
102,Area 6d3 (SFS) right
103,CM (Amygdala) right
104,Area hOc6 (POS) right
105,Area hIP6 (IPS) right
106,Area hIP8 (IPS) right
107,Area hIP4 (IPS) right
108,Area hIP5 (IPS) right
109,Area hIP7 (IPS) right
110,Area hPO1 (POS) right
111,"Area 6mp (SMA, mesial SFG) right"
112,"Area 6ma (preSMA, mesial SFG) right"
113,HC-Transsubiculum (Hippocampus) right
114,Area Fo4 (OFC) right
115,Area Fo5 (OFC) right
116,Area Fo6 (OFC) right
117,Area Fo7 (OFC) right
118,Area 8d1 (SFG) right
119,Area 8d2 (SFG) right
120,Area 8v2 (MFG) right
121,Area 8v1 (MFG) right
122,Area Ig3 (Insula) right
123,Area Id4 (Insula) right
124,Area Id5 (Insula) right
125,Area Ia1 (Insula) right
126,Area Id6 (Insula) right
127,Area Op5 (Frontal Operculum) right
128,Area Op6 (Frontal Operculum) right
129,Area Op7 (Frontal Operculum) right
130,Area Ph1 (PhG) right
131,Area Ph2 (PhG) right
132,Area Ph3 (PhG) right
133,Area CoS1 (CoS) right
134,CGL (Metathalamus) right
135,CGM (Metathalamus) right
136,Area Id9 (Insula) right
137,Area Ia3 (Insula) right
138,Area Ia2 (Insula) right
139,Area Id8 (Insula) right
140,Area Id10 (Insula) right
141,BST (Bed Nucleus) right
142,Frontal-I (GapMap) right
143,Frontal-II (GapMap) right
144,Temporal-to-Parietal (GapMap) right
145,Frontal-to-Occipital (GapMap) right
146,Frontal-to-Temporal-I (GapMap) right
147,Frontal-to-Temporal-II (GapMap) right
148,Area 45 (IFG) left
149,Area 44 (IFG) left
150,Area Fo1 (OFC) left
151,Area Fo2 (OFC) left
152,Area Fo3 (OFC) left
153,Area hOc5 (LOC) left
154,"Area hOc2 (V2, 18) left"
155,"Area hOc1 (V1, 17, CalcS) left"
156,Area hOc4v (LingG) left
157,Area hOc3v (LingG) left
158,Area TE 1.0 (HESCHL) left
159,Area TE 2.1 (STG) left
160,Area TPJ (STG/SMG) left
161,Area TE 1.2 (HESCHL) left
162,Area TE 3 (STG) left
163,Area TE 1.1 (HESCHL) left
164,Area TE 2.2 (STG) left
165,Area 33 (ACC) left
166,Area s32 (sACC) left
167,Area p32 (pACC) left
168,Area Id2 (Insula) left
169,Area Id3 (Insula) left
170,CA2 (Hippocampus) left
171,CA3 (Hippocampus) left
172,Entorhinal Cortex left
173,DG (Hippocampus) left
174,HC-Parasubiculum (Hippocampus) left
175,HC-Presubiculum (Hippocampus) left
