label,region
1,Area 45 (IFG) left
2,Area 45 (IFG) right
3,Area 44 (IFG) left
4,Area 44 (IFG) right
5,Area Fo1 (OFC) left
6,Area Fo1 (OFC) right
7,Area Fo2 (OFC) left
8,Area Fo2 (OFC) right
9,Area Fo3 (OFC) left
10,Area Fo3 (OFC) right
11,Area hOc5 (LOC) left
12,Area hOc5 (LOC) right
13,"Area hOc2 (V2, 18) left"
14,"Area hOc2 (V2, 18) right"
15,"Area hOc1 (V1, 17, CalcS) left"
16,"Area hOc1 (V1, 17, CalcS) right"
17,Area hOc4v (LingG) left
18,Area hOc4v (LingG) right
19,Area hOc3v (LingG) left
20,Area hOc3v (LingG) right
21,Area TE 1.0 (HESCHL) left
22,Area TE 1.0 (HESCHL) right
23,Area TE 2.1 (STG) left
24,Area TE 2.1 (STG) right
25,Area TPJ (STG/SMG) left
26,Area TPJ (STG/SMG) right
27,Area TE 1.2 (HESCHL) left
28,Area TE 1.2 (HESCHL) right
29,Area TE 3 (STG) left
30,Area TE 3 (STG) right
31,Area TE 1.1 (HESCHL) left
32,Area TE 1.1 (HESCHL) right
33,Area TE 2.2 (STG) left
34,Area TE 2.2 (STG) right
35,Area 33 (ACC) left
36,Area 33 (ACC) right
37,Area s32 (sACC) left
38,Area s32 (sACC) right
39,Area p32 (pACC) left
40,Area p32 (pACC) right
41,Area Id2 (Insula) left
42,Area Id2 (Insula) right
43,Area Id3 (Insula) left
44,Area Id3 (Insula) right
45,CA2 (Hippocampus) left
46,CA2 (Hippocampus) right
47,CA3 (Hippocampus) left
48,CA3 (Hippocampus) right
49,Entorhinal Cortex left
50,Entorhinal Cortex right
51,DG (Hippocampus) left
52,DG (Hippocampus) right
53,CA1 (Hippocampus) left
54,CA1 (Hippocampus) right
55,HATA (Hippocampus) left
56,HATA (Hippocampus) right
57,Area OP4 (POperc) left
58,Area OP4 (POperc) right
59,Area OP1 (POperc) left
60,Area OP1 (POperc) right
61,Area OP2 (POperc) left
62,Area OP2 (POperc) right
63,Area OP3 (POperc) left
64,Area OP3 (POperc) right
65,Area FG2 (FusG) left
66,Area FG2 (FusG) right
67,Area FG1 (FusG) left
68,Area FG1 (FusG) right
69,Area PGp (IPL) left
70,Area PGp (IPL) right
71,Area PFt (IPL) left
72,Area PFt (IPL) right
73,Area PGa (IPL) left
74,Area PGa (IPL) right
75,Area PFop (IPL) left
76,Area PFop (IPL) right
77,Area PFm (IPL) left
78,Area PFm (IPL) right
79,Area PFcm (IPL) left
80,Area PFcm (IPL) right
81,Area Ig2 (Insula) left
82,Area Ig2 (Insula) right
83,Area Ig1 (Insula) left
84,Area Ig1 (Insula) right
85,Area Id1 (Insula) left
86,Area Id1 (Insula) right
87,Area hOc4lp (LOC) left
88,Area hOc4lp (LOC) right
89,Area hOc4la (LOC) left
90,Area hOc4la (LOC) right
91,Area hOc4d (Cuneus) left
92,Area hOc4d (Cuneus) right
93,Area hOc3d (Cuneus) left
94,Area hOc3d (Cuneus) right
95,Area 4p (PreCG) left
96,Area 4p (PreCG) right
97,Area 4a (PreCG) left
98,Area 4a (PreCG) right
99,Area 1 (PostCG) left
100,Area 1 (PostCG) right
101,Area 3a (PostCG) left
102,Area 3a (PostCG) right
103,Area 3b (PostCG) left
104,Area 3b (PostCG) right
105,Area hIP1 (IPS) left
106,Area hIP1 (IPS) right
107,Area hIP2 (IPS) left
108,Area hIP2 (IPS) right
109,Area 5L (SPL) left
110,Area 5L (SPL) right
111,Area 5M (SPL) left
112,Area 5M (SPL) right
113,Area 7PC (SPL) left
114,Area 7PC (SPL) right
115,Area hIP3 (IPS) left
116,Area hIP3 (IPS) right
117,Area 7A (SPL) left
118,Area 7A (SPL) right
119,Area 7M (SPL) left
120,Area 7M (SPL) right
121,Area 5Ci (SPL) left
122,Area 5Ci (SPL) right
123,Area Id7 (Insula) left
124,Area Id7 (Insula) right
125,Area s24 (sACC) left
126,Area s24 (sACC) right
127,Area 25 (sACC) left
128,Area 25 (sACC) right
129,SF (Amygdala) left
130,SF (Amygdala) right
131,LB (Amygdala) left
132,LB (Amygdala) right
133,Subiculum (Hippocampus) left
